Year	TotExpGDP.x	FedExpGDP	FedExpGDPOnBudget	FedExpGDPOffBudget	NIPAExpGDP	SLExpGDP.x	TotExpB.x	FedExpB	FedExpBOnBudget	FedExpBOffBudget	NIPAExpB	SLExpB.x	TotSurDefB	FedSurDefB	FedSurDefBOnBudget	FedSurDefBOffBudget	NIPASurDefB	TotSurDefGDP	FedSurDefGDP	SLSurDefGDP	TotRecB	FedRecB	FedRecBOnBudget	FedRecBOffBudget	NIPARecB	GDP	TotRecGDP	FedRecGDP	SLRecGDP	Congress	SenTotal	SenDemocrats	SenRepublicans	SenOthers	SenVacancies	HouseTotal	HouseDemocrats	HouseRepublicans	HouseOthers	HouseVacancies	President	PresParty	TotExpGDP.y	FedDefenseExpGDP	FedInterestExpGDP	FedSSExpGDP	FedOtherIndExpGDP	FedOtherExpGDP	SLExpGDP.y	TotExpB.y	FedDefenseExpB	FedInterestExpB	FedSSExpB	FedOtherIndExpB	FedOtherExpB	SLExpB.y
1958	25.8	17.4	15.8	1.6	0.6	8.4	122.4	82.4	74.9	7.5	2.9	40	-10.4	-2.8	-3.3	0.5	-7.7	-2.2	-0.6	-1.6	112	79.6	71.6	8	32.4	474.3	23.6	16.8	6.8	85th	96	49	47	0	0	435	234	201	0	0	Dwight D. Eisenhower	R	25.8	10.6	1.5	1.7	2.7	1.2	8.1	122.4	50.2	7.1	8	12.9	5.7	38.6
1959	26.8	18.2	16.4	1.8	0.7	8.6	135.6	92.1	83.1	9	3.5	43.5	-21.5	-12.8	-12.1	-0.7	-8.6	-4.2	-2.5	-1.7	114.1	79.2	71	8.3	34.9	505.6	22.6	15.7	6.9	86th	98	64	34	0	0	437	283	153	1	0	Dwight D. Eisenhower	R	26.8	10.3	1.5	1.9	2.6	2.2	8.3	135.6	52.2	7.4	9.5	13.3	11.3	41.8
1960	25.7	17.2	15.2	2	0.7	8.4	137.4	92.2	81.3	10.9	3.8	45.2	-6.8	0.3	0.5	-0.2	-7.1	-1.3	0.1	-1.3	130.6	92.5	81.9	10.6	38.1	535.1	24.4	17.3	7.1	86th	98	64	34	0	0	437	283	153	1	0	Dwight D. Eisenhower	R	25.7	9.6	1.7	2.1	2.4	1.8	8.1	137.4	51.1	8.8	11.4	12.9	9.9	43.3
1961	26.9	17.8	15.7	2.1	0.7	9	147	97.7	86	11.7	4	49.3	-11.4	-3.3	-3.8	0.4	-8.1	-2.1	-0.6	-1.5	135.7	94.4	82.3	12.1	41.3	547.6	24.8	17.2	7.5	87th	100	64	36	0	0	437	262	175	0	0	John F. Kennedy	D	26.9	9.6	1.6	2.2	2.8	1.9	8.6	147	52.8	8.7	12.2	15.4	10.6	47.3
1962	27.2	18.2	15.9	2.3	0.8	9	159.8	106.8	93.3	13.5	4.5	53	-15.6	-7.1	-5.9	-1.3	-8.4	-2.7	-1.2	-1.4	144.3	99.7	87.4	12.3	44.6	586.9	24.6	17	7.6	87th	100	64	36	0	0	437	262	175	0	0	John F. Kennedy	D	27.2	9.9	1.6	2.4	2.6	2.1	8.6	159.8	58	9.3	14	15.4	12.5	50.7
1963	27.1	18	15.6	2.4	0.8	9.1	167.6	111.3	96.4	15	4.9	56.3	-13.2	-4.8	-4	-0.8	-8.4	-2.1	-0.8	-1.4	154.4	106.6	92.4	14.2	47.9	619.3	24.9	17.2	7.7	88th	100	67	33	0	0	435	258	176	0	1	Lyndon B. Johnson	D	27.1	9.5	1.6	2.5	2.6	2.1	8.7	167.6	58.7	10.2	15.5	16.1	13.3	53.8
1964	27.1	17.9	15.5	2.4	0.9	9.2	179.7	118.5	102.8	15.7	5.7	61.2	-15.3	-5.9	-6.5	0.6	-9.4	-2.3	-0.9	-1.4	164.4	112.6	96.2	16.4	51.8	662.9	24.8	17	7.8	88th	100	67	33	0	0	435	258	176	0	1	Lyndon B. Johnson	D	27.1	9	1.6	2.5	2.5	2.7	8.8	179.7	59.7	10.9	16.2	16.6	17.8	58.5
1965	25.9	16.6	14.3	2.3	0.9	9.3	184.1	118.2	101.7	16.5	6.3	65.9	-11.7	-1.4	-1.6	0.2	-10.3	-1.6	-0.2	-1.4	172.4	116.8	100.1	16.7	55.6	710.7	24.3	16.4	7.8	89th	100	68	32	0	0	435	295	140	0	0	Lyndon B. Johnson	D	25.9	7.9	1.6	2.4	2.3	2.9	8.9	184.1	55.9	11.2	17.1	16.4	20.3	63.3
1966	26.4	17.2	14.7	2.5	1	9.2	206.8	134.5	114.8	19.7	7.9	72.2	-14.7	-3.7	-3.1	-0.6	-11	-1.9	-0.5	-1.4	192.1	130.8	111.7	19.1	61.3	781.9	24.6	16.7	7.8	89th	100	68	32	0	0	435	295	140	0	0	Lyndon B. Johnson	D	26.4	8.1	1.6	2.6	2.2	3	8.9	206.8	63.7	12.2	20.3	17.4	23.8	69.5
1967	28.2	18.8	16.3	2.4	1.2	9.4	236.6	157.5	137	20.4	9.9	79.1	-22.4	-8.6	-12.6	4	-13.7	-2.7	-1	-1.6	214.3	148.8	124.4	24.4	65.4	838.2	25.6	17.8	7.8	90th	100	64	36	0	0	435	248	187	0	0	Lyndon B. Johnson	D	28.2	9.2	1.6	2.9	2.3	3.1	9.1	236.6	77	13	24.5	19.4	26.4	76.4
1968	29.6	19.8	17.3	2.5	1.3	9.8	266.2	178.1	155.8	22.3	11.9	88	-38.9	-25.2	-27.7	2.6	-13.8	-4.3	-2.8	-1.5	227.3	153	128.1	24.9	74.3	899.3	25.3	17	8.3	90th	100	64	36	0	0	435	248	187	0	0	Lyndon B. Johnson	D	29.6	9.7	1.6	3.2	2.5	3.3	9.4	266.2	87.2	14.2	28.4	22.1	29.3	84.9
1969	28.8	18.7	16.1	2.6	1.2	10.1	283.3	183.6	158.4	25.2	12.2	99.6	-13.5	3.2	-0.5	3.7	-16.7	-1.4	0.3	-1.7	269.8	186.9	157.9	29	82.9	982.3	27.5	19	8.4	91st	100	58	42	0	0	435	243	192	0	0	Richard Nixon	R	28.8	8.9	1.6	3.4	2.5	2.6	9.8	283.3	87.1	15.9	33	24.8	26	96.5
1970	28.8	18.6	16	2.6	1.5	10.2	302.3	195.6	168	27.6	16.1	106.6	-16	-2.8	-8.7	5.9	-13.2	-1.5	-0.3	-1.3	286.3	192.8	159.3	33.5	93.5	1049.1	27.3	18.4	8.9	91st	100	58	42	0	0	435	243	192	0	0	Richard Nixon	R	28.8	8.2	1.7	3.5	2.8	2.8	9.9	302.3	86	17.4	36.4	28.9	29.9	103.6
1971	29.5	18.8	15.8	2.9	1.8	10.7	330.2	210.2	177.3	32.8	20.4	120	-42.3	-23	-26.1	3	-19.3	-3.8	-2.1	-1.7	287.9	187.1	151.3	35.8	100.7	1119.3	25.7	16.7	9	92nd	100	54	44	2	0	435	255	180	0	0	Richard Nixon	R	29.5	7.4	1.7	3.8	3.4	2.8	10.4	330.2	83	18.8	42.6	38.3	31.4	116
1972	29.6	18.9	15.9	3.1	2.1	10.7	360.8	230.7	193.5	37.2	25.8	130.1	-37.3	-23.4	-26.1	2.7	-13.9	-3.1	-1.9	-1.1	323.5	207.3	167.4	39.9	116.2	1219.5	26.5	17	9.5	92nd	100	54	44	2	0	435	255	180	0	0	Richard Nixon	R	29.6	6.9	1.7	3.9	3.7	3.1	10.2	360.8	84	21.1	47.7	45.6	38	124.5
1973	28.2	18.1	14.7	3.4	2.4	10.1	382.9	245.7	200	45.7	33	137.2	-23.8	-14.9	-15.2	0.3	-8.9	-1.8	-1.1	-0.7	359.1	230.8	184.7	46.1	128.3	1356	26.5	17	9.5	93rd	100	56	42	2	0	435	242	192	1	0	Gerald Ford	R	28.2	6	1.7	4.2	3.5	3.1	9.7	382.9	80.8	23.4	57.2	47.7	42.6	131.2
1974	28.4	18.1	14.6	3.6	2.2	10.3	422.7	269.4	216.5	52.9	33.4	153.3	-20.6	-6.1	-7.2	1.1	-14.5	-1.4	-0.4	-1	402.1	263.2	209.3	53.9	138.9	1486.2	27.1	17.7	9.3	93rd	100	56	42	2	0	435	242	192	1	0	Gerald Ford	R	28.4	5.7	1.8	4.4	3.7	2.8	10	422.7	85.1	26.7	65.7	55.4	41.8	148.1
1975	31.5	20.6	16.8	3.8	2.4	10.9	507.6	332.3	270.8	61.6	38.9	175.2	-79.1	-53.2	-54.1	0.9	-25.9	-4.9	-3.3	-1.6	428.4	279.1	216.6	62.5	149.3	1610.6	26.6	17.3	9.3	94th	100	61	37	2	0	435	291	144	0	0	Gerald Ford	R	31.5	5.8	1.8	4.8	4.8	3.8	10.5	507.6	93.6	29.2	77.7	77	60.8	169.3
1976	31.5	20.8	16.8	3.9	2.6	10.7	563.2	371.8	301.1	70.7	46.2	191.4	-99.9	-73.7	-69.4	-4.3	-26.2	-5.6	-4.1	-1.5	463.3	298.1	231.7	66.4	165.2	1790.3	25.9	16.6	9.2	94th	100	61	37	2	0	435	291	144	0	0	Gerald Ford	R	31.5	5.4	1.9	5	5.1	3.8	10.3	563.2	96.1	34.6	89.6	92.2	67.2	183.6
1977	30.2	20.2	16.2	4	2.6	10	611.9	409.2	328.7	80.5	53.4	202.7	-67	-53.7	-49.9	-3.7	-13.3	-3.3	-2.6	-0.7	545	355.6	278.7	76.8	189.4	2028.4	26.9	17.5	9.3	95th	100	61	38	1	0	435	292	143	0	0	Jimmy Carter	D	30.2	5.1	1.9	5.2	4.6	3.8	9.6	611.9	103.6	38.8	104.5	93.6	77.7	193.8
1978	29.7	20.1	16.2	3.9	2.7	9.5	675.9	458.7	369.6	89.2	61.6	217.2	-67.4	-59.2	-55.4	-3.8	-8.2	-3	-2.6	-0.4	608.5	399.6	314.2	85.4	208.9	2278.2	26.7	17.5	9.2	95th	100	61	38	1	0	435	292	143	0	0	Jimmy Carter	D	29.7	4.9	1.9	5.1	4.2	4.3	9.2	675.9	112	43.6	116.7	96.3	98.3	209
1979	28.9	19.6	15.8	3.9	2.5	9.3	743.9	504	404.9	99.1	63.6	239.9	-60.5	-40.7	-39.6	-1.1	-19.8	-2.4	-1.6	-0.8	683.4	463.3	365.3	98	220.1	2570	26.6	18	8.6	96th	100	58	41	1	0	435	277	158	0	0	Jimmy Carter	D	28.9	4.8	1.9	5.1	4.1	3.9	9.1	743.9	123.8	48.7	130.8	105.4	101.5	233.8
1980	30.7	21.1	17.1	4.1	2.4	9.5	857.8	590.9	477	113.9	68.3	266.9	-101.1	-73.8	-73.1	-0.7	-27.3	-3.6	-2.6	-1	756.7	517.1	403.9	113.2	239.6	2796.8	27.1	18.5	8.6	96th	100	58	41	1	0	435	277	158	0	0	Jimmy Carter	D	30.7	5.2	2	5.4	4.6	4	9.4	857.8	146.7	55.7	151	129.4	111.3	263.7
1981	30.8	21.6	17.3	4.3	2.3	9.2	967.8	678.2	543	135.3	70.9	289.5	-104.6	-79	-73.9	-5.1	-25.6	-3.3	-2.5	-0.8	863.1	599.3	469.1	130.2	263.9	3138.4	27.5	19.1	8.4	97th	100	46	53	1	0	435	242	192	1	0	Ronald Reagan	R	30.8	5.4	2.2	5.7	4.8	3.5	9.2	967.8	170.6	69.8	179.1	149.4	110.3	288.5
1982	32	22.5	18	4.6	2	9.5	1061.5	745.7	594.9	150.9	65.7	315.8	-156.7	-128	-120.6	-7.4	-28.7	-4.7	-3.9	-0.9	904.9	617.8	474.3	143.5	287.1	3313.9	27.3	18.6	8.7	97th	100	46	53	1	0	435	242	192	1	0	Ronald Reagan	R	32	6	2.6	6.1	4.8	3.1	9.5	1061.5	197.6	85.8	203.1	158.3	101.7	315
1983	32.5	22.8	18.7	4.2	1.9	9.6	1149.8	808.4	660.9	147.4	67.7	341.4	-236.5	-207.8	-207.7	-0.1	-28.7	-6.7	-5.9	-0.8	913.3	600.6	453.2	147.3	312.7	3541.1	25.8	17	8.8	98th	100	46	54	0	0	435	269	166	0	0	Ronald Reagan	R	32.5	6.3	2.6	6.3	5	2.7	9.6	1149.8	221.8	92.2	224	177.6	95.2	339
1984	30.8	21.5	17.3	4.2	1.8	9.3	1219.1	851.8	685.6	166.2	70.4	367.3	-197.7	-185.4	-185.3	-0.1	-12.3	-5	-4.7	-0.3	1021.4	666.4	500.4	166.1	355	3952.8	25.8	16.9	9	98th	100	46	54	0	0	435	269	166	0	0	Ronald Reagan	R	30.8	6.2	2.8	6	4.5	2.1	9.3	1219.1	243.3	112.4	237	176.3	84.1	366
1985	31.6	22.2	18	4.1	1.8	9.5	1350.1	946.3	769.4	176.9	75.2	403.8	-232.4	-212.3	-221.5	9.2	-20.1	-5.4	-5	-0.5	1117.7	734	547.9	186.2	383.7	4270.4	26.2	17.2	9	99th	100	47	53	0	0	435	253	182	0	0	Ronald Reagan	R	31.6	6.3	3	6	4.6	2.2	9.5	1350.1	268.9	127.1	256.1	195.8	96	406.1
1986	31.5	21.8	17.8	4	1.8	9.7	1431	990.4	806.8	183.5	82.4	440.7	-247.8	-221.2	-237.9	16.7	-26.5	-5.5	-4.9	-0.6	1183.3	769.2	568.9	200.2	414.1	4536.1	26.1	17	9.1	99th	100	47	53	0	0	435	253	182	0	0	Ronald Reagan	R	31.5	6.3	3	6	4.1	2.4	9.7	1431	287.5	134.5	270.7	187.4	108.7	442.1
1987	31.1	21	16.9	4.1	1.7	10.1	1487.5	1004	809.2	194.8	79	483.5	-182.4	-149.7	-168.4	18.6	-32.7	-3.8	-3.1	-0.7	1305.1	854.3	640.9	213.4	450.8	4781.9	27.3	17.9	9.4	100th	100	55	45	0	0	435	258	177	0	0	Ronald Reagan	R	31.1	6.1	2.9	6	4.1	1.9	10.1	1487.5	293.6	139.2	285	193.9	92.8	482.9
1988	30.7	20.6	16.7	4	1.6	10	1582.5	1064.4	860	204.4	83.5	518	-189.3	-155.2	-192.3	37.1	-34.2	-3.7	-3	-0.7	1393.1	909.2	667.7	241.5	483.9	5155.1	27	17.6	9.4	100th	100	55	45	0	0	435	258	177	0	0	Ronald Reagan	R	30.7	5.8	2.9	5.9	4	2	10.1	1582.5	300.8	150.6	302.5	207.4	101.9	519.3
1989	30.7	20.5	16.7	3.8	1.6	10.2	1710.4	1143.7	932.8	210.9	90.1	566.6	-197.9	-152.6	-205.4	52.8	-45.2	-3.6	-2.7	-0.8	1512.5	991.1	727.4	263.7	521.4	5570	27.2	17.8	9.4	101st	100	55	45	0	0	435	260	175	0	0	George H. W. Bush	R	30.7	5.6	3	5.8	4	2.1	10.2	1710.4	313.1	168.8	324.4	221.2	116	566.8
1990	31.7	21.2	17.4	3.8	1.7	10.5	1876.2	1253	1027.9	225.1	100.8	623.2	-291.6	-221	-277.6	56.6	-70.6	-4.9	-3.7	-1.2	1584.6	1032	750.3	281.7	552.7	5914.6	26.8	17.4	9.3	101st	100	55	45	0	0	435	260	175	0	0	George H. W. Bush	R	31.7	5.3	3.1	6	4	2.8	10.6	1876.2	313.1	182.3	353.8	238.5	163.3	625.2
1991	32.8	21.7	17.7	4	1.9	11.1	2001.8	1324.2	1082.5	241.7	117.9	677.6	-359.8	-269.2	-321.4	52.2	-90.5	-5.9	-4.4	-1.5	1642	1055	761.1	293.9	587	6110.1	26.9	17.3	9.6	102nd	100	56	44	0	0	435	267	167	1	0	George H. W. Bush	R	32.8	4.7	3.2	6.2	4.6	3	11	2001.8	289.1	197	380.7	278.5	181.4	675
1992	32.9	21.5	17.5	3.9	2.1	11.4	2116.4	1381.5	1129.2	252.3	138.2	734.9	-400	-290.3	-340.4	50.1	-109.7	-6.2	-4.5	-1.7	1716.4	1091.2	788.8	302.4	625.2	6434.7	26.7	17	9.7	102nd	100	56	44	0	0	435	267	167	1	0	George H. W. Bush	R	32.9	4.9	3.3	6.4	5	2	11.2	2116.4	314.4	212.3	414.3	324	129.4	722
1993	32	20.7	16.8	3.9	2.2	11.3	2176	1409.4	1142.8	266.6	150.1	766.6	-357.6	-255.1	-300.4	45.3	-102.6	-5.3	-3.8	-1.5	1818.4	1154.3	842.4	311.9	664.1	6794.9	26.8	17	9.8	103rd	100	57	43	0	0	435	258	176	1	0	Bill Clinton	D	32	4.5	3.2	6.5	5.2	1.6	11	2176	308.3	215.3	444.8	350.3	107.3	750
1994	31.4	20.3	16.4	3.9	2.3	11	2257	1461.8	1182.4	279.4	164.9	795.3	-296.4	-203.2	-258.8	55.7	-93.2	-4.1	-2.8	-1.3	1960.7	1258.6	923.5	335	702.1	7197.8	27.2	17.5	9.8	103rd	100	57	43	0	0	435	258	176	1	0	Bill Clinton	D	31.4	4.1	3	6.6	5	1.7	10.9	2257	298.7	217	476.2	358.4	125.5	781.2
1995	31.1	20	16.2	3.8	2.3	11.1	2360.8	1515.7	1227.1	288.7	175.1	845.1	-270.3	-164	-226.4	62.4	-106.3	-3.6	-2.2	-1.4	2090.5	1351.8	1000.7	351.1	738.7	7583.4	27.6	17.8	9.7	104th	100	48	52	0	0	435	204	230	1	0	Bill Clinton	D	31.1	3.8	3.2	6.7	5	1.4	11	2360.8	288.5	245.8	510.1	378	107	831.5
1996	30.5	19.6	15.8	3.8	2.2	10.9	2430.1	1560.5	1259.6	300.9	179.1	869.7	-197.6	-107.4	-174	66.6	-90.1	-2.5	-1.3	-1.1	2232.6	1453.1	1085.6	367.5	779.5	7978.3	28	18.2	9.8	104th	100	48	52	0	0	435	204	230	1	0	Bill Clinton	D	30.5	3.5	3.1	6.7	4.8	1.5	10.8	2430.1	279.2	247.9	538.1	382	120.1	862.8
1997	29.6	18.9	15.2	3.7	2.2	10.7	2512.9	1601.1	1290.5	310.6	183.9	911.7	-112.5	-21.9	-103.2	81.4	-90.6	-1.3	-0.3	-1.1	2400.3	1579.2	1187.2	392	821.1	8483.2	28.3	18.6	9.7	105th	100	45	55	0	0	435	207	226	2	0	Bill Clinton	D	29.6	3.4	2.9	6.7	4.7	1.3	10.7	2512.9	285.7	244.3	569.4	394.5	107.6	911.4
1998	29	18.5	14.9	3.5	2.2	10.5	2594.6	1652.5	1335.9	316.6	198.5	942.1	-10	69.3	-29.9	99.2	-79.2	-0.1	0.8	-0.9	2584.7	1721.7	1305.9	415.8	862.9	8954.8	28.9	19.2	9.6	105th	100	45	55	0	0	435	207	226	2	0	Bill Clinton	D	29	3.1	2.6	6.5	4.5	1.5	10.6	2594.6	281.2	230.3	586.2	406	137.9	953
1999	28.5	17.9	14.5	3.4	2.3	10.6	2711.6	1701.8	1381.1	320.8	214.2	1009.8	32.5	125.6	1.9	123.7	-93.1	0.3	1.3	-1	2744.1	1827.5	1383	444.5	916.6	9510.5	28.9	19.2	9.6	106th	100	45	55	0	0	435	211	223	1	0	Bill Clinton	D	28.5	3	2.2	6.3	4.4	1.8	10.8	2711.6	290	211.5	595.2	417.9	169	1028
2000	28.3	17.6	14.4	3.3	2.3	10.7	2870	1789	1458.2	330.8	229.6	1081.1	132	236.2	86.4	149.8	-104.3	1.3	2.3	-1	3002	2025.2	1544.6	480.6	976.8	10148.2	29.6	20	9.6	106th	100	45	55	0	0	435	211	223	1	0	Bill Clinton	D	28.3	3.1	1.9	6.1	4.4	1.8	11	2870	311.6	190.2	621	446	187.4	1113.8
2001	28.8	17.6	14.3	3.3	2.4	11.2	3043.6	1862.8	1516	346.8	254	1180.8	-38.4	128.2	-32.4	160.7	-166.6	-0.4	1.2	-1.6	3005.3	1991.1	1483.6	507.5	1014.2	10564.6	28.4	18.8	9.6	107th	100	50	50	1	0	435	212	221	2	0	George W. Bush	R	28.8	3	1.7	6.3	4.5	1.8	11.4	3043.6	321.2	183.7	666.1	475	194.4	1203.2
2002	30.2	18.5	15.2	3.3	2.6	11.8	3290.2	2010.9	1655.2	355.7	279.9	1279.3	-409.3	-157.8	-317.4	159.7	-251.6	-3.8	-1.5	-2.3	2880.9	1853.1	1337.8	515.3	1027.7	10876.9	26.5	17	9.4	107th	100	50	50	1	0	435	212	221	2	0	George W. Bush	R	30.2	3.4	1.6	6.5	5.1	1.9	11.7	3290.2	370.8	176.1	704.6	553	211.6	1274.1
2003	31	19.1	15.9	3.2	2.8	11.9	3507.4	2159.9	1796.9	363	312.4	1347.5	-656.1	-377.6	-538.4	160.8	-278.5	-5.8	-3.3	-2.5	2851.3	1782.3	1258.5	523.8	1069	11332.4	25.2	15.7	9.4	108th	100	48	51	1	0	435	205	229	1	0	George W. Bush	R	31	3.8	1.7	6.6	5.5	1.9	11.5	3507.4	425.9	197.3	743.3	622.3	215.3	1303.2
2004	30.6	19	15.8	3.1	2.7	11.7	3701.6	2292.8	1913.3	379.5	330.7	1408.8	-666.3	-412.7	-568	155.2	-253.6	-5.5	-3.4	-2.1	3035.3	1880.1	1345.4	534.7	1155.2	12088.6	25.1	15.6	9.6	108th	100	48	51	1	0	435	205	229	1	0	George W. Bush	R	30.6	4	1.7	6.5	5.2	1.9	11.3	3701.6	482.7	208.3	787.2	632.5	230.2	1360.8
2005	30.7	19.2	16.1	3.1	2.7	11.5	3951.6	2472	2069.7	402.2	341.8	1479.7	-529.7	-318.3	-493.6	175.3	-211.3	-4.1	-2.5	-1.6	3422	2153.6	1576.1	577.5	1268.4	12888.9	26.5	16.7	9.8	109th	100	44	55	1	0	435	202	231	1	1	George W. Bush	R	30.7	4.1	1.7	6.6	5.1	1.9	11.2	3951.6	529.9	220.8	849.4	662.1	246.6	1442.9
2006	30.7	19.4	16.3	3.1	2.5	11.3	4204.9	2655.1	2233	422.1	343.3	1549.9	-437.2	-248.2	-434.5	186.3	-189	-3.2	-1.8	-1.4	3767.7	2406.9	1798.5	608.4	1360.9	13684.7	27.5	17.6	9.9	109th	100	44	55	1	0	435	202	231	1	1	George W. Bush	R	30.7	4	1.9	6.7	5	1.9	11.1	4204.9	551.3	254.5	921.3	690	265.9	1522
2007	30.6	19.1	15.9	3.2	2.5	11.5	4378.6	2728.7	2275	453.6	352.4	1649.9	-385.8	-160.7	-342.2	181.5	-225.1	-2.7	-1.1	-1.6	3992.7	2568	1932.9	635.1	1424.7	14322.9	27.9	17.9	9.9	110th	100	49	49	2	0	435	236	199	0	0	George W. Bush	R	30.6	4	1.8	7	4.8	1.5	11.4	4378.6	579.7	255.7	1007.7	693	211.1	1631.3
2008	32.2	20.2	17	3.2	2.5	11.9	4743.1	2982.5	2507.8	474.8	365.8	1760.5	-762.2	-458.6	-641.8	183.3	-303.7	-5.2	-3.1	-2.1	3980.8	2524	1865.9	658	1456.9	14752.4	27	17.1	9.9	110th	100	49	49	2	0	435	236	199	0	0	George W. Bush	R	32.2	4.4	1.9	7.2	5.3	1.7	11.8	4743.1	644.9	277.4	1057.2	783.6	244.1	1735.9
